X,Y,time,,,,
3.4652,-0.6964,4.2227847,,,,
3.4461,-0.6866,4.234784,,,,
3.4229,-0.677,4.246785,,,,
3.4026,-0.6658,4.2587859,,,,
3.3799,-0.6539,4.2707843,,,,
3.3547,-0.6433,4.2826986,,,,
3.3287,-0.6314,4.2952913,,,,
3.2997,-0.614,4.306914,,,,
3.2681,-0.5955,4.3189138,,,,
3.2388,-0.581,4.3305077,,,,
3.2016,-0.5557,4.3425042,,,,
3.172,-0.5381,4.3545045,,,,
3.1405,-0.5235,4.3665047,,,,
3.1086,-0.509,4.3785039,,,,
3.0786,-0.4954,4.3905043,,,,
3.047,-0.4853,4.4025047,,,,
3.0161,-0.4785,4.4145256,,,,
2.9876,-0.4742,4.4265263,,,,
2.9604,-0.4683,4.4385253,,,,
2.929,-0.4694,4.4503426,,,,
2.9021,-0.4683,4.4623439,,,,
2.876,-0.4673,4.4743431,,,,
2.8516,-0.464,4.4863436,,,,
2.8264,-0.459,4.4983429,,,,
2.8023,-0.4584,4.5103431,,,,
2.779,-0.4597,4.5223431,,,,
2.7558,-0.4626,4.5343433,,,,
2.7327,-0.4659,4.5463434,,,,
2.7098,-0.469,4.5583444,,,,
2.6896,-0.4716,4.5703438,,,,
2.6693,-0.4718,4.5823431,,,,
2.6462,-0.4697,4.5943432,,,,
2.616,-0.4742,4.6063429,,,,
2.5922,-0.4777,4.6183426,,,,
2.5701,-0.4832,4.6303438,,,,
2.5532,-0.4889,4.6423438,,,,
2.5301,-0.4947,4.6543426,,,,
2.5104,-0.4994,4.6653425,,,,
2.4886,-0.5036,4.6773431,,,,
2.465,-0.509,4.6893437,,,,
2.4404,-0.5144,4.7013435,,,,
2.4143,-0.5212,4.7133431,,,,
2.3867,-0.5288,4.7253432,,,,
2.3601,-0.5364,4.7373431,,,,
2.3314,-0.5422,4.749343,,,,
2.3006,-0.5483,4.7613432,,,,
2.2676,-0.5533,4.7733434,,,,
2.2374,-0.5609,4.7853427,,,,
2.207,-0.5674,4.7973429,,,,
2.1768,-0.5722,4.8093432,,,,
2.1417,-0.57,4.8213437,,,,
2.112,-0.5718,4.8333432,,,,
2.0809,-0.5707,4.845343,,,,
2.0449,-0.5778,4.8573436,,,,
2.0142,-0.5771,4.8693429,,,,
1.9848,-0.5771,4.8813424,,,,
1.9596,-0.5777,4.8933438,,,,
1.94,-0.5809,4.905344,,,,
1.9206,-0.5815,4.9173428,,,,
1.9015,-0.5791,4.9293425,,,,
1.8825,-0.5773,4.9413433,,,,
1.8503,-0.5831,4.9533433,,,,
1.8279,-0.5819,4.9653433,,,,
1.808,-0.5748,4.9773429,,,,
1.7904,-0.5706,4.9893443,,,,
1.7714,-0.5656,5.0013433,,,,
1.7506,-0.5591,5.0123431,,,,
1.7263,-0.5501,5.0243426,,,,
1.7016,-0.5406,5.0363439,,,,
1.6768,-0.5269,5.0483431,,,,
1.6503,-0.5155,5.0603434,,,,
1.6263,-0.5018,5.0723431,,,,
1.6016,-0.4901,5.0843428,,,,
1.5752,-0.4797,5.0963426,,,,
1.5496,-0.4688,5.1083431,,,,
1.5273,-0.4578,5.120343,,,,
1.5045,-0.4422,5.1323436,,,,
1.4866,-0.4299,5.1443432,,,,
1.4692,-0.4168,5.1563434,,,,
1.4509,-0.4035,5.1683429,,,,
1.4346,-0.3911,5.180344,,,,
