X,Y,time
-0.2896,7.2942,4.0417012
-0.2811,7.3039,4.0522136
-0.2715,7.3159,4.0637454
-0.2617,7.3289,4.0747792
-0.2517,7.3442,4.0859955
-0.2417,7.3595,4.097513
-0.2308,7.3756,4.1086468
-0.22,7.3917,4.1188282
-0.2084,7.4074,4.1307808
-0.1973,7.4231,4.142036
-0.1867,7.437,4.1531134
-0.1783,7.4489,4.1646341
-0.1706,7.4608,4.1755887
-0.1637,7.4711,4.1867334
-0.1573,7.4809,4.1971216
-0.1503,7.4902,4.2086513
-0.143,7.4993,4.2195838
-0.1354,7.5084,4.2308721
-0.1278,7.5187,4.2420763
-0.12,7.5283,4.2530901
-0.1125,7.5373,4.2646113
-0.1057,7.5465,4.2758951
-0.1004,7.5558,4.2870061
-0.0953,7.5645,4.2977239
-0.0916,7.5724,4.3098534
-0.0879,7.5799,4.3201104
-0.0853,7.5857,4.3316351
-0.0836,7.5905,4.3427992
-0.082,7.5942,4.3543287
-0.0808,7.5973,4.3651867
-0.0802,7.5993,4.3758305
-0.0794,7.6001,4.386902
-0.0794,7.6011,4.3984628
-0.0801,7.6019,4.4099913
-0.0802,7.6024,4.4205366
-0.0793,7.6034,4.4316512
-0.0779,7.6044,4.4426932
-0.0763,7.604,4.4542157
-0.0755,7.604,4.4657506
-0.0744,7.603,4.476793
-0.0744,7.6017,4.4878559
-0.0741,7.6006,4.4984073
-0.0747,7.599,4.51005
-0.0747,7.5977,4.5216117
-0.0744,7.5962,4.5328493
-0.0739,7.5951,4.5436138
-0.0744,7.594,4.555238
-0.0747,7.5936,4.5659
-0.0741,7.593,4.5774375
-0.0734,7.5933,4.5888396
-0.072,7.5935,4.5994711
-0.0713,7.5933,4.610593
-0.0703,7.5925,4.6220487
-0.0695,7.5911,4.6326248
-0.0699,7.5884,4.6440902
-0.0704,7.5847,4.6551704
-0.0718,7.5802,4.6667013
-0.0731,7.5738,4.6777533
-0.0739,7.5669,4.688457
-0.0739,7.5595,4.7009325
-0.0736,7.5504,4.7114675
-0.0731,7.5408,4.722627
-0.0736,7.5298,4.73371
-0.0744,7.5173,4.7448214
-0.0764,7.5035,4.7563385
-0.0793,7.4888,4.7668713
-0.0822,7.4736,4.7783983
-0.0856,7.4569,4.7889886
-0.089,7.4392,4.8005329
-0.0923,7.4225,4.8121484
-0.0957,7.4068,4.8226618
-0.0994,7.392,4.8337367
-0.1036,7.3793,4.8449248
-0.1081,7.3682,4.8561176
-0.1134,7.3595,4.8676254
-0.1203,7.3514,4.8787775
-0.1272,7.3457,4.8898456
-0.1345,7.3405,4.9013543
-0.1406,7.3367,4.9116697
-0.1452,7.333,4.9236868
-0.1491,7.3302,4.9348327
-0.1513,7.3283,4.9459013
-0.1531,7.3263,4.957092
-0.1548,7.3244,4.967612
-0.1554,7.3226,4.9795275
-0.155,7.3209,4.9905576
-0.1539,7.3189,5.0016452
-0.1518,7.3161,5.013044
-0.1492,7.313,5.0235851
-0.1449,7.3086,5.0350062
-0.1401,7.3028,5.0465283
-0.1342,7.2955,5.057565
-0.1273,7.2878,5.0687002
-0.1195,7.2789,5.0795928
-0.1114,7.2697,5.0911315
-0.1022,7.2598,5.101665
-0.0928,7.2494,5.1130222
-0.0823,7.2387,5.1247345
-0.0712,7.2266,5.135798
-0.0589,7.2155,5.1459615
-0.0455,7.2051,5.1569792
-0.031,7.1956,5.1684917
-0.0145,7.1877,5.1797097
0.0021,7.1811,5.1909662
0.0193,7.1767,5.2019723
0.0369,7.1735,5.2135099
0.0552,7.1711,5.2247124
0.0743,7.1706,5.2357473
0.0932,7.1705,5.2470678
0.1123,7.1705,5.2584357
0.1314,7.1723,5.2695523
0.15,7.1743,5.2800989
0.1673,7.1768,5.291831
0.1838,7.1806,5.3029933
0.1992,7.1854,5.3135263
0.2136,7.1913,5.3245953
0.2274,7.1977,5.33675
0.2407,7.2047,5.3469316
0.2527,7.2118,5.3588233
0.2646,7.2202,5.3702408
0.2769,7.229,5.3807418
0.2883,7.2389,5.3919049
